Attending District Institutional ID,District,Attending School Institutional ID,School
2082,Eugene SD 4J,515,Howard Elementary School
2082,Eugene SD 4J,1792,Jasper Mountain Center
2082,Eugene SD 4J,518,Kelly Middle School
2082,Eugene SD 4J,519,Kennedy Middle School
2082,Eugene SD 4J,3545,Looking Glass Center Point School
2082,Eugene SD 4J,1532,Looking Glass Riverfront School & Career Center
2082,Eugene SD 4J,520,Madison Middle School
2082,Eugene SD 4J,522,McCornack Elementary School
2082,Eugene SD 4J,524,Monroe Middle School
2082,Eugene SD 4J,4041,Network Charter School
2082,Eugene SD 4J,1786,New Roads
2082,Eugene SD 4J,536,North Eugene High School
2082,Eugene SD 4J,3233,Ridgeline Montessori
2082,Eugene SD 4J,4811,River Road Campus
2082,Eugene SD 4J,525,River Road/El Camino del Rio Elementary School
2082,Eugene SD 4J,526,Roosevelt Middle School
2082,Eugene SD 4J,1789,SAFE Center School
2082,Eugene SD 4J,538,Sheldon High School
2082,Eugene SD 4J,539,South Eugene High School
2082,Eugene SD 4J,528,Spencer Butte Middle School
2082,Eugene SD 4J,529,Spring Creek Elementary School
2082,Eugene SD 4J,2316,Stepping Stone Lodge
2082,Eugene SD 4J,530,Twin Oaks Elementary School
2082,Eugene SD 4J,1861,Twin Rivers Charter School
2082,Eugene SD 4J,3229,Village School
2082,Eugene SD 4J,1545,Wellsprings Friends School
2082,Eugene SD 4J,534,Willagillespie Elementary School
2082,Eugene SD 4J,1259,Yujin Gakuen Elementary School
2193,Falls City SD 57,1005,Falls City Elementary School
2193,Falls City SD 57,1006,Falls City High School
2084,Fern Ridge SD 28J,4717,Bridgeway House
2084,Fern Ridge SD 28J,563,Elmira Elementary School
2084,Fern Ridge SD 28J,567,Elmira High School
2084,Fern Ridge SD 28J,564,Fern Ridge Middle School
2084,Fern Ridge SD 28J,1792,Jasper Mountain Center
2084,Fern Ridge SD 28J,3545,Looking Glass Center Point School
2084,Fern Ridge SD 28J,1532,Looking Glass Riverfront School & Career Center
2084,Fern Ridge SD 28J,566,Veneta Elementary School
2084,Fern Ridge SD 28J,1545,Wellsprings Friends School
2084,Fern Ridge SD 28J,4045,West Lane Technology Learning Center
2241,Forest Grove SD 15,1128,Cornelius Elementary School
2241,Forest Grove SD 15,1129,Dilley Elementary School
2241,Forest Grove SD 15,1130,Echo Shaw Elementary School
2241,Forest Grove SD 15,3986,Fern Hill Elementary School
2241,Forest Grove SD 15,4595,Forest Grove Community School
2241,Forest Grove SD 15,1134,Forest Grove High School
2241,Forest Grove SD 15,2241,Forest Grove SD 15
2241,Forest Grove SD 15,1132,Harvey Clarke Elementary School
2241,Forest Grove SD 15,1133,Joseph Gale Elementary School
2241,Forest Grove SD 15,1126,Neil Armstrong Middle School
2241,Forest Grove SD 15,2376,Oak Grove Academy
2241,Forest Grove SD 15,1127,Tom McCall Upper Elementary
2248,Fossil SD 21J,1205,Fossil Charter School
2020,Frenchglen SD 16,351,Frenchglen Elementary School
2020,Frenchglen SD 16,4702,Silvies River Charter School
2245,Gaston SD 511J,1194,Gaston Elementary School
2245,Gaston SD 511J,1195,Gaston Jr/Sr High School
2137,Gervais SD 1,5392,Frontier Charter Academy
2137,Gervais SD 1,776,Gervais Elementary School
2137,Gervais SD 1,808,Gervais High School
2137,Gervais SD 1,786,Gervais Middle School
2137,Gervais SD 1,4024,Samuel Brown Academy
1931,Gladstone SD 115,2407,Clackamas Community College
1931,Gladstone SD 115,4719,Gladstone Center for Children and Families
1931,Gladstone SD 115,138,Gladstone High School
1931,Gladstone SD 115,1931,Gladstone SD 115
1931,Gladstone SD 115,136,John Wetten Elementary School
1931,Gladstone SD 115,1671,Serendipity
1931,Gladstone SD 115,137,Walter L Kraxberger Middle School
2000,Glendale SD 77,307,Glendale Community Charter School
2000,Glendale SD 77,306,Glendale Elementary School
1992,Glide SD 12,282,Glide Elementary School
1992,Glide SD 12,285,Glide High School
1992,Glide SD 12,284,Glide Middle School
2054,Grants Pass SD 7,435,Allen Dale Elementary School
2054,Grants Pass SD 7,442,Grants Pass High School
2054,Grants Pass SD 7,2054,Grants Pass SD 7
2054,Grants Pass SD 7,436,Highland Elementary School
2054,Grants Pass SD 7,437,Lincoln Elementary School
2054,Grants Pass SD 7,438,North Middle School
2054,Grants Pass SD 7,1351,Parkside Elementary
2054,Grants Pass SD 7,439,Redwood Elementary School
2054,Grants Pass SD 7,440,Riverside Elementary School
2054,Grants Pass SD 7,441,South Middle School
2100,Greater Albany Public SD 8J,3950,Albany Options School
2100,Greater Albany Public SD 8J,632,Calapooia Middle School
2100,Greater Albany Public SD 8J,631,Central Elementary School
2100,Greater Albany Public SD 8J,633,Clover Ridge Elementary School
2100,Greater Albany Public SD 8J,635,Fir Grove Primary School
2100,Greater Albany Public SD 8J,2100,Greater Albany Public SD 8J
2100,Greater Albany Public SD 8J,640,Lafayette Elementary School
2100,Greater Albany Public SD 8J,641,Liberty Elementary School
2100,Greater Albany Public SD 8J,642,Memorial Middle School
2100,Greater Albany Public SD 8J,637,North Albany Elementary School
2100,Greater Albany Public SD 8J,638,North Albany Middle School
2100,Greater Albany Public SD 8J,643,Oak Elementary School
2100,Greater Albany Public SD 8J,639,Oak Grove Elementary School
2100,Greater Albany Public SD 8J,636,Periwinkle Elementary School
2100,Greater Albany Public SD 8J,650,South Albany High School
2100,Greater Albany Public SD 8J,645,South Shore Elementary School
2100,Greater Albany Public SD 8J,644,Sunrise Elementary School
2100,Greater Albany Public SD 8J,647,Takena Elementary School
2100,Greater Albany Public SD 8J,646,Tangent Elementary School
2100,Greater Albany Public SD 8J,4744,Timber Ridge School
2100,Greater Albany Public SD 8J,648,Waverly Elementary School
2100,Greater Albany Public SD 8J,649,West Albany High School
2183,Gresham-Barlow SD 10J,3553,Center for Advanced Learning
2183,Gresham-Barlow SD 10J,1312,Clear Creek Middle School
2183,Gresham-Barlow SD 10J,90,Deep Creek – Damascus K-8 School
2183,Gresham-Barlow SD 10J,932,Dexter McCarty Middle School
2183,Gresham-Barlow SD 10J,933,East Gresham Elementary School
2183,Gresham-Barlow SD 10J,941,East Orient Elementary School
2183,Gresham-Barlow SD 10J,934,Gordon Russell Middle School
2183,Gresham-Barlow SD 10J,4601,Gresham Arthur Academy
2183,Gresham-Barlow SD 10J,986,Gresham High School
2183,Gresham-Barlow SD 10J,2183,Gresham-Barlow SD 10J
2183,Gresham-Barlow SD 10J,936,Hall Elementary School
2183,Gresham-Barlow SD 10J,935,Highland Elementary School
2183,Gresham-Barlow SD 10J,3543,Hogan Cedars Elementary School
2183,Gresham-Barlow SD 10J,937,Hollydale Elementary School
2183,Gresham-Barlow SD 10J,1313,Kelly Creek Elementary School
2183,Gresham-Barlow SD 10J,4667,Lewis and Clark Montessori Charter School
2183,Gresham-Barlow SD 10J,4740,Metro East Web Academy
2183,Gresham-Barlow SD 10J,938,North Gresham Elementary School
2183,Gresham-Barlow SD 10J,939,Powell Valley Elementary School
2183,Gresham-Barlow SD 10J,5152,Rosemary Anderson High School - East (Gresham)  
2183,Gresham-Barlow SD 10J,987,Sam Barlow High School
2183,Gresham-Barlow SD 10J,3577,Springwater Trail High School
2183,Gresham-Barlow SD 10J,940,West Gresham Elementary School
2183,Gresham-Barlow SD 10J,942,West Orient Middle School
2014,Harney County SD 3,359,Burns High School
2014,Harney County SD 3,342,Henry L Slater Elementary School
2014,Harney County SD 3,355,Hines Middle School
2015,Harney County SD 4,346,Crane Elementary School
2015,Harney County SD 4,5446,Oregon Family School
2023,Harney County Union High SD 1J,358,Crane Union High School
2114,Harper SD 66,3362,Harper Charter School
2099,Harrisburg SD 7J,659,Harrisburg Elementary School
2099,Harrisburg SD 7J,689,Harrisburg High School
2099,Harrisburg SD 7J,2723,Harrisburg Middle School
2201,Helix SD 1,3364,Helix School
2206,Hermiston SD 8,1039,Armand Larive Middle School
2206,Hermiston SD 8,3426,Desert View Elementary School
2206,Hermiston SD 8,1040,Hermiston High School
2206,Hermiston SD 8,2206,Hermiston SD 8
2206,Hermiston SD 8,1034,Highland Hills Elementary School
2206,Hermiston SD 8,1036,Rocky Heights Elementary School
